Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Performance-only,0.5734265734265734,0.15714285714285714,0.8461538461538461,0.26506024096385544,0.7233727810650887
Behavioral-only,0.34965034965034963,0.10784313725490197,0.8461538461538461,0.19130434782608696,0.6532544378698225
Dual-dimensional,0.7622377622377622,0.24390243902439024,0.7692307692307693,0.37037037037037035,0.8118343195266272
