Model,Type,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Performance-only,Baseline,0.5734265734265734,0.1571428571428571,0.8461538461538461,0.2650602409638554,0.7233727810650887
Behavioral-only,Baseline,0.3496503496503496,0.1078431372549019,0.8461538461538461,0.1913043478260869,0.6532544378698225
Dual-dimensional,Baseline,0.7622377622377622,0.2439024390243902,0.7692307692307693,0.3703703703703703,0.8118343195266272
Random Forest,Advanced,0.8741258741258742,0.391304347826087,0.6923076923076923,0.5,0.9011834319526627
XGBoost,Advanced,0.8951048951048951,0.4444444444444444,0.6153846153846154,0.5161290322580645,0.8828402366863906
Neural Network,Advanced,0.9090909090909091,0.5,0.6153846153846154,0.5517241379310345,0.8828402366863906
